Pictorem Scraper Data

Name,Tag #,Image URL,Product Link
"Vanishing Point 1 of 17","#671361","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_vanishing_point_2022_parchment_16x20_master_300_1670979931.1966.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_671361.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/671361.jpg,https://img.cdn-pictorem.com/uploads/pictureframe/1/671361.jpg","https://www.pictorem.com/671361/Vanishing Point 1 of 17"
"Fishing","#636479","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Fishing_MASTER_36x45_2022_flattened_w_sig_fin.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_636479.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/636479.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_636479.png","https://www.pictorem.com/636479/Fishing"
"In Contemplation of the Universe","#599036","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_ICOU_Master_Pitre_36x48_sig_final_3_2022.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_599036.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/599036.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_599036.png,https://img.cdn-pictorem.com/uploads/split/1/split3_599036.jpg","https://www.pictorem.com/599036/In Contemplation of the Universe"
"Pondering Mortality","#577725","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_PONDERING_MORTALITY_draft2_sRGB_full_2022.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_577725.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/577725.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_577725.png","https://www.pictorem.com/577725/Pondering Mortality"
"Retribution","#572703","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Retribution_MASTER_24x32_300_2022_Pictorem.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_572703.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/572703.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_572703.png,https://img.cdn-pictorem.com/uploads/pictureframe/1/572703.jpg","https://www.pictorem.com/572703/Retribution"
"Exotic Nights","#530674","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Exotic_Nights_Sketch_18x24_300dpi_Pictorem_2022.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_530674.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/530674.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_530674.png,https://img.cdn-pictorem.com/uploads/split/1/split3_530674.jpg","https://www.pictorem.com/530674/Exotic Nights"
"Transgression","#519677","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Transgressions_MASTER_2022_300_w_sig_in_earth.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_519677.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/519677.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_519677.png,https://img.cdn-pictorem.com/uploads/split/1/split3_519677.jpg","https://www.pictorem.com/519677/Transgression"
"Passion","#498324","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Passion_MASTER_Pitre_2021_30x40_300.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_498324.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/498324.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_498324.png,https://img.cdn-pictorem.com/uploads/split/1/split3_498324.jpg","https://www.pictorem.com/498324/Passion"
"Overpopulation","#487880","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Overpopulation_Pitre_24x18_Master_Center_Sig_2021.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_487880.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/487880.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_487880.png,https://img.cdn-pictorem.com/uploads/split/1/split3_487880.jpg","https://www.pictorem.com/487880/Overpopulation"
"Erotica","#487300","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Erotica_Master_Pitre_2021_36x27_Pict.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_487300.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/487300.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_487300.png,https://img.cdn-pictorem.com/uploads/split/1/split3_487300.jpg","https://www.pictorem.com/487300/Erotica"
"After the Storm","#487285","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_After_the_Storm_MASTER_Pictorem_3627_2021_24x18.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_487285.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/487285.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_487285.png,https://img.cdn-pictorem.com/uploads/split/1/split3_487285.jpg","https://www.pictorem.com/487285/After the Storm"
"Carl Sagan Star Stuff - Heaven","#479362","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Carl_Sagan_John_Pitre_30x20_Heaven.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_479362.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/479362.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_479362.png,https://img.cdn-pictorem.com/uploads/split/1/split3_479362.jpg","https://www.pictorem.com/479362/Carl Sagan Star Stuff - Heaven"
"Icarus","#477562","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Icarus_24x30_Master_2021.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_477562.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/477562.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_477562.png,https://img.cdn-pictorem.com/uploads/split/1/split3_477562.jpg","https://www.pictorem.com/477562/Icarus"
"Pacific Moonrise","#477072","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Pacific_Moonrise_Master_40x24_2021.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_477072.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/477072.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_477072.png,https://img.cdn-pictorem.com/uploads/split/1/split3_477072.jpg","https://www.pictorem.com/477072/Pacific Moonrise"
"Of Consciousness and Light","#477032","https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/900_John-Pitre_Of_Consciousness_and_Light_Pitre_Master_36x45_2021.jpg,https://img.cdn-pictorem.com/uploads/wallrandom/rand_477032.jpg,https://img.cdn-pictorem.com/uploads/wallgenerate/477032.jpg,https://img.cdn-pictorem.com/uploads/collection/J/JR2KPG4RSB/book_477032.png,https://img.cdn-pictorem.com/uploads/split/1/split3_477032.jpg","https://www.pictorem.com/477032/Of Consciousness and Light"
